,target_filename,only_in_kr,in_both,only_in_gs
29,mouse_targets/target_duplicated_9_NC_000069.7_50923738:50923888.fasta,0,2,1
30,mouse_targets/target_duplicated_30_NC_000067.7_94211085:94211235.fasta,0,1,9
31,mouse_targets/target_duplicated_20_NC_000086.8_149011983:149012133.fasta,0,0,0
32,mouse_targets/target_duplicated_35_NC_000082.7_3259502:3259652.fasta,0,0,0
33,mouse_targets/target_duplicated_50_NC_000077.7_55242400:55242550.fasta,0,1,4
34,mouse_targets/target_intergenic_47_7_122486100:122486250.fasta,0,0,0
35,mouse_targets/target_duplicated_23_NC_000083.7_7311404:7311554.fasta,0,0,2
36,mouse_targets/target_intergenic_41_13_28717174:28717324.fasta,1,0,7
37,mouse_targets/target_duplicated_41_NC_000079.7_119302093:119302243.fasta,0,0,0
38,mouse_targets/target_intergenic_16_5_15032292:15032442.fasta,0,0,0
39,mouse_targets/target_gene_20_15_98850390:98850540.fasta,0,0,6
40,mouse_targets/target_gene_13_4_147407534:147407684.fasta,0,0,0
41,mouse_targets/target_intergenic_44_3_117148409:117148559.fasta,0,4,15
42,mouse_targets/target_intergenic_7_19_47210574:47210724.fasta,0,0,15
43,mouse_targets/target_gene_45_2_151416080:151416230.fasta,0,0,13
44,mouse_targets/target_intergenic_13_7_73148268:73148418.fasta,0,1,5
45,mouse_targets/target_duplicated_6_NC_000073.7_7379056:7379206.fasta,0,0,0
46,mouse_targets/target_gene_4_15_74916498:74916648.fasta,0,0,3
47,mouse_targets/target_duplicated_12_NC_000067.7_141029285:141029435.fasta,0,0,0
48,mouse_targets/target_gene_42_12_51875640:51875790.fasta,0,25,10
49,mouse_targets/target_gene_33_16_19942531:19942681.fasta,0,0,2
50,mouse_targets/target_intergenic_3_8_126586103:126586253.fasta,1,3,13
51,mouse_targets/target_intergenic_0_13_11055816:11055966.fasta,0,0,3
52,mouse_targets/target_duplicated_19_NC_000087.8_11508906:11509056.fasta,0,0,0
53,mouse_targets/target_duplicated_36_NC_000080.7_114498082:114498232.fasta,0,0,3
54,mouse_targets/target_duplicated_22_NC_000086.8_39120914:39121064.fasta,0,0,15
55,mouse_targets/target_intergenic_17_7_68006789:68006939.fasta,0,6,14
56,mouse_targets/target_duplicated_32_NC_000084.7_79039650:79039800.fasta,0,4,8
57,mouse_targets/target_duplicated_15_NC_000073.7_103763649:103763799.fasta,0,0,5
58,mouse_targets/target_gene_15_15_38051807:38051957.fasta,0,2,2
59,mouse_targets/target_duplicated_49_NC_000082.7_23186295:23186445.fasta,0,0,2
60,mouse_targets/target_duplicated_33_NC_000074.7_111112715:111112865.fasta,0,0,5
61,mouse_targets/target_intergenic_22_14_114139859:114140009.fasta,0,0,10
62,mouse_targets/target_gene_18_19_33493045:33493195.fasta,0,0,0
63,mouse_targets/target_intergenic_15_14_16432331:16432481.fasta,0,0,0
64,mouse_targets/target_gene_40_10_80195563:80195713.fasta,0,9,16
65,mouse_targets/target_intergenic_26_1_53631609:53631759.fasta,0,0,0
66,mouse_targets/target_gene_7_5_44756830:44756980.fasta,0,1,17
67,mouse_targets/target_intergenic_4_Y_38024175:38024325.fasta,0,0,0
68,mouse_targets/target_duplicated_24_NC_000085.7_23031649:23031799.fasta,0,0,3
69,mouse_targets/target_duplicated_45_NC_000076.7_112120688:112120838.fasta,0,0,4
70,mouse_targets/target_gene_8_9_57456702:57456852.fasta,1,0,10
71,mouse_targets/target_gene_22_13_31740848:31740998.fasta,0,4,11
72,mouse_targets/target_duplicated_40_NC_000084.7_25361562:25361712.fasta,0,3,4
73,mouse_targets/target_intergenic_28_1_156692260:156692410.fasta,0,1,5
74,mouse_targets/target_duplicated_16_NC_000080.7_53917784:53917934.fasta,0,0,0
75,mouse_targets/target_gene_21_1_166834917:166835067.fasta,0,3,10
76,mouse_targets/target_gene_35_11_72335505:72335655.fasta,0,12,5
77,mouse_targets/target_intergenic_21_11_96957855:96958005.fasta,0,10,23
78,mouse_targets/target_gene_23_11_94901119:94901269.fasta,0,3,32
79,mouse_targets/target_intergenic_40_13_112955825:112955975.fasta,0,1,4
80,mouse_targets/target_intergenic_10_4_59280999:59281149.fasta,0,1,10
81,mouse_targets/target_intergenic_9_2_144129316:144129466.fasta,0,0,4
82,mouse_targets/target_intergenic_5_7_35298899:35299049.fasta,0,0,1
83,mouse_targets/target_intergenic_19_2_180682789:180682939.fasta,0,2,13
84,mouse_targets/target_gene_19_13_69769414:69769564.fasta,0,0,9
85,mouse_targets/target_gene_44_2_111838721:111838871.fasta,0,0,12
86,mouse_targets/target_gene_1_2_119157073:119157223.fasta,2,3,18
87,mouse_targets/target_gene_12_3_75423881:75424031.fasta,0,0,1
88,mouse_targets/target_gene_5_17_35825531:35825681.fasta,0,2,26
89,mouse_targets/target_gene_3_9_7503437:7503587.fasta,0,0,0
90,mouse_targets/target_gene_10_6_41661631:41661781.fasta,0,2,12
91,mouse_targets/target_gene_47_11_106146392:106146542.fasta,0,13,6
92,mouse_targets/target_duplicated_48_NC_000075.7_44491165:44491315.fasta,0,0,0
93,mouse_targets/target_duplicated_43_NC_000086.8_155742235:155742385.fasta,0,0,1
94,mouse_targets/target_duplicated_3_NC_000074.7_124723172:124723322.fasta,1,0,3
95,mouse_targets/target_gene_26_X_73884859:73885009.fasta,0,0,0
96,mouse_targets/target_intergenic_31_11_71547431:71547581.fasta,1,2,6
97,mouse_targets/target_gene_41_7_27543161:27543311.fasta,0,3,12
98,mouse_targets/target_intergenic_23_3_35003816:35003966.fasta,0,0,11
99,mouse_targets/target_intergenic_49_7_137444818:137444968.fasta,0,0,7
100,mouse_targets/target_gene_17_16_88665966:88666116.fasta,0,0,5
101,mouse_targets/target_duplicated_8_NC_000074.7_110699094:110699244.fasta,0,0,3
102,mouse_targets/target_gene_32_13_95838240:95838390.fasta,0,0,4
103,mouse_targets/target_gene_29_19_6134130:6134280.fasta,0,1,7
104,mouse_targets/target_gene_27_2_160736604:160736754.fasta,5,0,2
105,mouse_targets/target_intergenic_12_13_79084003:79084153.fasta,0,0,3
106,mouse_targets/target_duplicated_18_NC_000073.7_112471294:112471444.fasta,0,0,3
107,mouse_targets/target_duplicated_37_NC_000087.8_10929245:10929395.fasta,0,0,0
108,mouse_targets/target_intergenic_35_10_22507812:22507962.fasta,4,3,8
109,mouse_targets/target_intergenic_6_8_29907485:29907635.fasta,0,0,2
110,mouse_targets/target_gene_31_9_75479063:75479213.fasta,0,0,6
111,mouse_targets/target_intergenic_11_3_98495290:98495440.fasta,0,2,4
112,mouse_targets/target_duplicated_31_NC_000072.7_79007482:79007632.fasta,0,0,4
113,mouse_targets/target_intergenic_48_6_37208126:37208276.fasta,0,1,16
114,mouse_targets/target_intergenic_37_17_45874961:45875111.fasta,0,26,17
115,mouse_targets/target_duplicated_42_NC_000083.7_36351519:36351669.fasta,0,0,0
116,mouse_targets/target_gene_43_X_5379581:5379731.fasta,0,0,8
117,mouse_targets/target_intergenic_36_13_47585416:47585566.fasta,0,8,3
118,mouse_targets/target_intergenic_14_10_116220680:116220830.fasta,0,0,1
119,mouse_targets/target_gene_30_7_101637666:101637816.fasta,0,0,10
120,mouse_targets/target_duplicated_14_NC_000087.8_12645402:12645552.fasta,0,0,0
121,mouse_targets/target_duplicated_34_NC_000068.8_128777845:128777995.fasta,0,1,6
122,mouse_targets/target_duplicated_5_NC_000069.7_46864944:46865094.fasta,0,0,0
123,mouse_targets/target_intergenic_1_10_5773429:5773579.fasta,0,10,10
124,mouse_targets/target_intergenic_45_1_189577673:189577823.fasta,0,0,6
125,mouse_targets/target_duplicated_17_NC_000069.7_89826942:89827092.fasta,0,0,0
126,mouse_targets/target_gene_46_14_57351613:57351763.fasta,0,3,18
127,mouse_targets/target_gene_48_12_19296573:19296723.fasta,0,0,0
128,mouse_targets/target_duplicated_11_NC_000070.7_143701726:143701876.fasta,0,0,0
129,mouse_targets/target_intergenic_42_10_127657716:127657866.fasta,0,0,0
130,mouse_targets/target_duplicated_27_NC_000075.7_105316898:105317048.fasta,0,0,0
131,mouse_targets/target_intergenic_20_4_42954610:42954760.fasta,0,3,11
132,mouse_targets/target_duplicated_21_NC_000086.8_69533978:69534128.fasta,0,0,0
133,mouse_targets/target_gene_6_18_35593854:35594004.fasta,0,0,3
134,mouse_targets/target_intergenic_38_6_37345119:37345269.fasta,0,0,2
135,mouse_targets/target_gene_11_7_27989610:27989760.fasta,0,11,4
136,mouse_targets/target_duplicated_28_NC_000069.7_64195773:64195923.fasta,0,0,12
137,mouse_targets/target_gene_49_7_103319794:103319944.fasta,0,0,0
138,mouse_targets/target_duplicated_46_NC_000077.7_51055650:51055800.fasta,0,0,1
139,mouse_targets/target_intergenic_25_5_9158070:9158220.fasta,0,0,6
140,mouse_targets/target_gene_34_2_132713511:132713661.fasta,0,0,8
141,mouse_targets/target_intergenic_43_8_13540217:13540367.fasta,0,11,8
142,mouse_targets/target_duplicated_13_NC_000070.7_90809642:90809792.fasta,0,0,3
143,mouse_targets/target_intergenic_30_8_125354036:125354186.fasta,0,1,2
144,mouse_targets/target_duplicated_38_NC_000075.7_35852687:35852837.fasta,0,0,2
145,mouse_targets/target_intergenic_2_2_151902519:151902669.fasta,0,3,10
146,mouse_targets/target_duplicated_10_NC_000068.8_81782486:81782636.fasta,1,0,10
147,mouse_targets/target_duplicated_47_NC_000074.7_112624798:112624948.fasta,0,0,0
148,mouse_targets/target_duplicated_25_NC_000075.7_90016849:90016999.fasta,0,0,0
149,mouse_targets/target_intergenic_33_11_83483023:83483173.fasta,0,1,9
