Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type
ENSG00000110328	ENSG00000110328.6	ENST00000227756	ENST00000227756.5	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:30488]	11	11270877	11622005	protein_coding
ENSG00000110330	ENSG00000110330.10	ENST00000227758	ENST00000227758.7	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	11	102347211	102378670	protein_coding
ENSG00000110446	ENSG00000110446.12	ENST00000227880	ENST00000227880.8	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	11	60937060	60952653	protein_coding
ENSG00000110484	ENSG00000110484.7	ENST00000227918	ENST00000227918.3	SCGB2A2	secretoglobin family 2A member 2 [Source:HGNC Symbol;Acc:HGNC:7050]	11	62270158	62273160	protein_coding
ENSG00000062282	ENSG00000062282.15	ENST00000228027	ENST00000228027.12	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	11	75759512	75801535	protein_coding
ENSG00000075856	ENSG00000075856.12	ENST00000228284	ENST00000228284.8	SART3	spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]	12	108522214	108561400	protein_coding
ENSG00000090612	ENSG00000090612.22	ENST00000228289	ENST00000228289.9	ZNF268	zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]	12	133181409	133214832	protein_coding
ENSG00000089159	ENSG00000089159.17	ENST00000228307	ENST00000228307.11	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	12	120210439	120265771	protein_coding
ENSG00000013503	ENSG00000013503.10	ENST00000228347	ENST00000228347.9	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	12	106357748	106510198	protein_coding
ENSG00000110848	ENSG00000110848.8	ENST00000228434	ENST00000228434.7	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	12	9752486	9760901	protein_coding
ENSG00000110851	ENSG00000110851.12	ENST00000228437	ENST00000228437.10	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	12	107732871	107761272	protein_coding
ENSG00000110887	ENSG00000110887.8	ENST00000228476	ENST00000228476.8	DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	12	108858932	108901043	protein_coding
ENSG00000110975	ENSG00000110975.8	ENST00000228567	ENST00000228567.7	SYT10	synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266]	12	33374238	33439819	protein_coding
ENSG00000111012	ENSG00000111012.10	ENST00000228606	ENST00000228606.9	CYP27B1	cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]	12	57762334	57768986	protein_coding
ENSG00000111046	ENSG00000111046.4	ENST00000228641	ENST00000228641.4	MYF6	myogenic factor 6 [Source:HGNC Symbol;Acc:HGNC:7566]	12	80707634	80709474	protein_coding
ENSG00000111049	ENSG00000111049.4	ENST00000228644	ENST00000228644.4	MYF5	myogenic factor 5 [Source:HGNC Symbol;Acc:HGNC:7565]	12	80716912	80719671	protein_coding
ENSG00000111087	ENSG00000111087.10	ENST00000228682	ENST00000228682.7	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	12	57459785	57472268	protein_coding
ENSG00000111110	ENSG00000111110.12	ENST00000228705	ENST00000228705.7	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]	12	62643994	62935150	protein_coding
ENSG00000111144	ENSG00000111144.10	ENST00000228740	ENST00000228740.7	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	12	96000753	96043520	protein_coding
ENSG00000111145	ENSG00000111145.8	ENST00000228741	ENST00000228741.8	ELK3	ETS transcription factor ELK3 [Source:HGNC Symbol;Acc:HGNC:3325]	12	96194375	96269824	protein_coding
ENSG00000111203	ENSG00000111203.13	ENST00000228799	ENST00000228799.7	ITFG2	integrin alpha FG-GAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:30879]	12	2812622	2859791	protein_coding
ENSG00000111215	ENSG00000111215.12	ENST00000228811	ENST00000228811.8	PRR4	proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]	12	10845849	10849475	protein_coding
ENSG00000111231	ENSG00000111231.9	ENST00000228827	ENST00000228827.8	GPN3	GPN-loop GTPase 3 [Source:HGNC Symbol;Acc:HGNC:30186]	12	110452486	110469268	protein_coding
ENSG00000111241	ENSG00000111241.3	ENST00000228837	ENST00000228837.3	FGF6	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]	12	4428155	4445815	protein_coding
ENSG00000111245	ENSG00000111245.17	ENST00000228841	ENST00000228841.15	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	12	110910819	110921443	protein_coding
ENSG00000111247	ENSG00000111247.15	ENST00000228843	ENST00000228843.13	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	12	4538798	4560047	protein_coding
ENSG00000111254	ENSG00000111254.8	ENST00000228850	ENST00000228850.6	AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	12	4615508	4649051	protein_coding
ENSG00000111266	ENSG00000111266.9	ENST00000228862	ENST00000228862.3	DUSP16	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	12	12473282	12562863	protein_coding
ENSG00000111276	ENSG00000111276.12	ENST00000228872	ENST00000228872.9	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	12	12685498	12722369	protein_coding
ENSG00000111321	ENSG00000111321.11	ENST00000228918	ENST00000228918.9	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	12	6375045	6391571	protein_coding
ENSG00000111341	ENSG00000111341.10	ENST00000228938	ENST00000228938.5	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	12	14880864	14885857	protein_coding
ENSG00000111348	ENSG00000111348.9	ENST00000228945	ENST00000228945.9	ARHGDIB	Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]	12	14942031	14961728	protein_coding
ENSG00000111358	ENSG00000111358.14	ENST00000228955	ENST00000228955.11	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	12	123633739	123662604	protein_coding
ENSG00000111404	ENSG00000111404.7	ENST00000229002	ENST00000229002.6	RERGL	RERG like [Source:HGNC Symbol;Acc:HGNC:26213]	12	18080869	18320107	protein_coding
ENSG00000111405	ENSG00000111405.9	ENST00000229003	ENST00000229003.7	ENDOU	endonuclease, poly(U) specific [Source:HGNC Symbol;Acc:HGNC:14369]	12	47709734	47725567	protein_coding
ENSG00000111536	ENSG00000111536.5	ENST00000229134	ENST00000229134.5	IL26	interleukin 26 [Source:HGNC Symbol;Acc:HGNC:17119]	12	68201349	68225810	protein_coding
ENSG00000111537	ENSG00000111537.5	ENST00000229135	ENST00000229135.4	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	12	68154768	68159740	protein_coding
ENSG00000111596	ENSG00000111596.14	ENST00000229195	ENST00000229195.8	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	12	70243002	70354993	protein_coding
ENSG00000111602	ENSG00000111602.12	ENST00000229201	ENST00000229201.4	TIMELESS	timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]	12	56416363	56449426	protein_coding
ENSG00000111644	ENSG00000111644.8	ENST00000229243	ENST00000229243.7	ACRBP	acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]	12	6638075	6647433	protein_coding
ENSG00000111652	ENSG00000111652.10	ENST00000229251	ENST00000229251.7	COPS7A	COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]	12	6724014	6731875	protein_coding
ENSG00000111664	ENSG00000111664.11	ENST00000229264	ENST00000229264.8	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	12	6839954	6847393	protein_coding
ENSG00000111666	ENSG00000111666.11	ENST00000229266	ENST00000229266.8	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	12	101696947	101744140	protein_coding
ENSG00000111674	ENSG00000111674.9	ENST00000229277	ENST00000229277.6	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	12	6913745	6923698	protein_coding
ENSG00000111678	ENSG00000111678.11	ENST00000229281	ENST00000229281.6	C12orf57	chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]	12	6942978	6946003	protein_coding
ENSG00000111701	ENSG00000111701.7	ENST00000229304	ENST00000229304.5	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]	12	7649400	7665908	protein_coding
ENSG00000111711	ENSG00000111711.10	ENST00000229314	ENST00000229314.10	GOLT1B	golgi transport 1B [Source:HGNC Symbol;Acc:HGNC:20175]	12	21501781	21518408	protein_coding
ENSG00000111725	ENSG00000111725.11	ENST00000229328	ENST00000229328.10	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	12	119667864	119681624	protein_coding
ENSG00000111726	ENSG00000111726.13	ENST00000229329	ENST00000229329.7	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	12	22046218	22065674	protein_coding
ENSG00000111727	ENSG00000111727.12	ENST00000229330	ENST00000229330.9	HCFC2	host cell factor C2 [Source:HGNC Symbol;Acc:HGNC:24972]	12	104064531	104106524	protein_coding
ENSG00000111729	ENSG00000111729.15	ENST00000229332	ENST00000229332.12	CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	12	8123617	8138607	protein_coding
ENSG00000111737	ENSG00000111737.12	ENST00000229340	ENST00000229340.10	RAB35	RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]	12	120095099	120117502	protein_coding
ENSG00000111783	ENSG00000111783.13	ENST00000229387	ENST00000229387.6	RFX4	regulatory factor X4 [Source:HGNC Symbol;Acc:HGNC:9985]	12	106583004	106762803	protein_coding
ENSG00000111796	ENSG00000111796.4	ENST00000229402	ENST00000229402.4	KLRB1	killer cell lectin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6373]	12	9594551	9607916	protein_coding
ENSG00000016082	ENSG00000016082.15	ENST00000230658	ENST00000230658.12	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	protein_coding
ENSG00000011083	ENSG00000011083.9	ENST00000230671	ENST00000230671.7	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	5	150190062	150222788	protein_coding
ENSG00000112855	ENSG00000112855.17	ENST00000230771	ENST00000230771.9	HARS2	histidyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4817]	5	140691430	140699305	protein_coding
ENSG00000112977	ENSG00000112977.16	ENST00000230895	ENST00000230895.11	DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	5	10679230	10761234	protein_coding
ENSG00000112983	ENSG00000112983.18	ENST00000230901	ENST00000230901.9	BRD8	bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]	5	138139770	138178953	protein_coding
ENSG00000113088	ENSG00000113088.6	ENST00000231009	ENST00000231009.3	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	5	55024256	55034570	protein_coding
ENSG00000113100	ENSG00000113100.10	ENST00000231021	ENST00000231021.9	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	5	26880597	27121150	protein_coding
ENSG00000113140	ENSG00000113140.11	ENST00000231061	ENST00000231061.9	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	5	151661096	151686975	protein_coding
ENSG00000113196	ENSG00000113196.3	ENST00000231121	ENST00000231121.3	HAND1	heart and neural crest derivatives expressed 1 [Source:HGNC Symbol;Acc:HGNC:4807]	5	154474972	154478227	protein_coding
ENSG00000113205	ENSG00000113205.5	ENST00000231130	ENST00000231130.3	PCDHB3	protocadherin beta 3 [Source:HGNC Symbol;Acc:HGNC:8688]	5	141100473	141103827	protein_coding
ENSG00000113209	ENSG00000113209.9	ENST00000231134	ENST00000231134.8	PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	5	141135206	141138615	protein_coding
ENSG00000113211	ENSG00000113211.6	ENST00000231136	ENST00000231136.4	PCDHB6	protocadherin beta 6 [Source:HGNC Symbol;Acc:HGNC:8691]	5	141150057	141153287	protein_coding
ENSG00000113212	ENSG00000113212.7	ENST00000231137	ENST00000231137.6	PCDHB7	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	5	141172644	141176383	protein_coding
ENSG00000113312	ENSG00000113312.12	ENST00000231238	ENST00000231238.10	TTC1	tetratricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12391]	5	160009113	160065543	protein_coding
ENSG00000082196	ENSG00000082196.21	ENST00000231338	ENST00000231338.7	C1QTNF3	C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]	5	34017858	34043213	protein_coding
ENSG00000113492	ENSG00000113492.14	ENST00000231420	ENST00000231420.11	AGXT2	alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412]	5	34998101	35048135	protein_coding
ENSG00000113494	ENSG00000113494.17	ENST00000231423	ENST00000231423.7	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	5	35048756	35230487	protein_coding
ENSG00000113520	ENSG00000113520.11	ENST00000231449	ENST00000231449.7	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	5	132673986	132682678	protein_coding
ENSG00000113525	ENSG00000113525.10	ENST00000231454	ENST00000231454.6	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	5	132541445	132556838	protein_coding
ENSG00000113643	ENSG00000113643.9	ENST00000231572	ENST00000231572.8	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	5	168486451	168519301	protein_coding
ENSG00000113722	ENSG00000113722.18	ENST00000231656	ENST00000231656.13	CDX1	caudal type homeobox 1 [Source:HGNC Symbol;Acc:HGNC:1805]	5	150166778	150184558	protein_coding
