NCBI GeneID	Symbol	Description	Gene Type
11576	Afp	alpha fetoprotein	PROTEIN_CODING
11595	Acan	aggrecan	PROTEIN_CODING
11596	Ager	advanced glycosylation end product-specific receptor	PROTEIN_CODING
11600	Angpt1	angiopoietin 1	PROTEIN_CODING
11601	Angpt2	angiopoietin 2	PROTEIN_CODING
11604	Agrp	agouti related neuropeptide	PROTEIN_CODING
11606	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	PROTEIN_CODING
11607	Agtr1a	angiotensin II receptor, type 1a	PROTEIN_CODING
11609	Agtr2	angiotensin II receptor, type 2	PROTEIN_CODING
11622	Ahr	aryl-hydrocarbon receptor	PROTEIN_CODING
11628	Aicda	activation-induced cytidine deaminase	PROTEIN_CODING
11634	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	PROTEIN_CODING
11647	Alpl	alkaline phosphatase, liver/bone/kidney	PROTEIN_CODING
11651	Akt1	thymoma viral proto-oncogene 1	PROTEIN_CODING
11652	Akt2	thymoma viral proto-oncogene 2	PROTEIN_CODING
11657	Alb	albumin	PROTEIN_CODING
11669	Aldh2	aldehyde dehydrogenase 2, mitochondrial	PROTEIN_CODING
11687	Alox15	arachidonate 15-lipoxygenase	PROTEIN_CODING
11689	Alox5	arachidonate 5-lipoxygenase	PROTEIN_CODING
11704	Amelx	amelogenin, X-linked	PROTEIN_CODING
11705	Amh	anti-Mullerian hormone	PROTEIN_CODING
11770	Fabp4	fatty acid binding protein 4, adipocyte	PROTEIN_CODING
11789	Apc	APC, WNT signaling pathway regulator	PROTEIN_CODING
11793	Atg5	autophagy related 5	PROTEIN_CODING
11799	Birc5	baculoviral IAP repeat-containing 5	PROTEIN_CODING
11806	Apoa1	apolipoprotein A-I	PROTEIN_CODING
11816	Apoe	apolipoprotein E	PROTEIN_CODING
11820	App	amyloid beta (A4) precursor protein	PROTEIN_CODING
11826	Aqp1	aquaporin 1	PROTEIN_CODING
11827	Aqp2	aquaporin 2	PROTEIN_CODING
11829	Aqp4	aquaporin 4	PROTEIN_CODING
11830	Aqp5	aquaporin 5	PROTEIN_CODING
11835	Ar	androgen receptor	PROTEIN_CODING
11838	Arc	activity regulated cytoskeletal-associated protein	PROTEIN_CODING
11839	Areg	amphiregulin	PROTEIN_CODING
11846	Arg1	arginase, liver	PROTEIN_CODING
11848	Rhoa	ras homolog family member A	PROTEIN_CODING
11863	Arnt	aryl hydrocarbon receptor nuclear translocator	PROTEIN_CODING
11865	Arntl	aryl hydrocarbon receptor nuclear translocator-like	PROTEIN_CODING
11910	Atf3	activating transcription factor 3	PROTEIN_CODING
11911	Atf4	activating transcription factor 4	PROTEIN_CODING
11920	Atm	ataxia telangiectasia mutated	PROTEIN_CODING
11921	Atoh1	atonal bHLH transcription factor 1	PROTEIN_CODING
11922	Neurod6	neurogenic differentiation 6	PROTEIN_CODING
11924	Neurog2	neurogenin 2	PROTEIN_CODING
11925	Neurog3	neurogenin 3	PROTEIN_CODING
11938	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	PROTEIN_CODING
11977	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	PROTEIN_CODING
12006	Axin2	axin 2	PROTEIN_CODING
12010	B2m	beta-2 microglobulin	PROTEIN_CODING
12018	Bak1	BCL2-antagonist/killer 1	PROTEIN_CODING
12028	Bax	BCL2-associated X protein	PROTEIN_CODING
12043	Bcl2	B cell leukemia/lymphoma 2	PROTEIN_CODING
12048	Bcl2l1	BCL2-like 1	PROTEIN_CODING
12053	Bcl6	B cell leukemia/lymphoma 6	PROTEIN_CODING
12062	Bdkrb2	bradykinin receptor, beta 2	PROTEIN_CODING
12064	Bdnf	brain derived neurotrophic factor	PROTEIN_CODING
12096	Bglap	bone gamma carboxyglutamate protein	PROTEIN_CODING
12097	Bglap2	bone gamma-carboxyglutamate protein 2	PROTEIN_CODING
121021	Cspg4	chondroitin sulfate proteoglycan 4	PROTEIN_CODING
12122	Bid	BH3 interacting domain death agonist	PROTEIN_CODING
12125	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	PROTEIN_CODING
12140	Fabp7	fatty acid binding protein 7, brain	PROTEIN_CODING
12142	Prdm1	PR domain containing 1, with ZNF domain	PROTEIN_CODING
12151	Bmi1	Bmi1 polycomb ring finger oncogene	PROTEIN_CODING
12156	Bmp2	bone morphogenetic protein 2	PROTEIN_CODING
12159	Bmp4	bone morphogenetic protein 4	PROTEIN_CODING
12162	Bmp7	bone morphogenetic protein 7	PROTEIN_CODING
12166	Bmpr1a	bone morphogenetic protein receptor, type 1A	PROTEIN_CODING
12189	Brca1	breast cancer 1, early onset	PROTEIN_CODING
12190	Brca2	breast cancer 2, early onset	PROTEIN_CODING
12215	Bsg	basigin	PROTEIN_CODING
12229	Btk	Bruton agammaglobulinemia tyrosine kinase	PROTEIN_CODING
12259	C1qa	complement component 1, q subcomponent, alpha polypeptide	PROTEIN_CODING
12265	Ciita	class II transactivator	PROTEIN_CODING
12266	C3	complement component 3	PROTEIN_CODING
12273	C5ar1	complement component 5a receptor 1	PROTEIN_CODING
12286	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	PROTEIN_CODING
12288	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	PROTEIN_CODING
12289	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	PROTEIN_CODING
12307	Calb1	calbindin 1	PROTEIN_CODING
12308	Calb2	calbindin 2	PROTEIN_CODING
12310	Calca	calcitonin/calcitonin-related polypeptide, alpha	PROTEIN_CODING
12317	Calr	calreticulin	PROTEIN_CODING
12322	Camk2a	calcium/calmodulin-dependent protein kinase II alpha	PROTEIN_CODING
12333	Capn1	calpain 1	PROTEIN_CODING
12355	Nr1i3	nuclear receptor subfamily 1, group I, member 3	PROTEIN_CODING
12359	Cat	catalase	PROTEIN_CODING
12362	Casp1	caspase 1	PROTEIN_CODING
12363	Casp4	caspase 4, apoptosis-related cysteine peptidase	PROTEIN_CODING
12367	Casp3	caspase 3	PROTEIN_CODING
12370	Casp8	caspase 8	PROTEIN_CODING
12374	Casr	calcium-sensing receptor	PROTEIN_CODING
12387	Ctnnb1	catenin (cadherin associated protein), beta 1	PROTEIN_CODING
12389	Cav1	caveolin 1, caveolae protein	PROTEIN_CODING
12393	Runx2	runt related transcription factor 2	PROTEIN_CODING
12394	Runx1	runt related transcription factor 1	PROTEIN_CODING
12399	Runx3	runt related transcription factor 3	PROTEIN_CODING
12402	Cbl	Casitas B-lineage lymphoma	PROTEIN_CODING
12411	Cbs	cystathionine beta-synthase	PROTEIN_CODING
12424	Cck	cholecystokinin	PROTEIN_CODING
12443	Ccnd1	cyclin D1	PROTEIN_CODING
12444	Ccnd2	cyclin D2	PROTEIN_CODING
12458	Ccr6	chemokine (C-C motif) receptor 6	PROTEIN_CODING
12475	Cd14	CD14 antigen	PROTEIN_CODING
12477	Ctla4	cytotoxic T-lymphocyte-associated protein 4	PROTEIN_CODING
12478	Cd19	CD19 antigen	PROTEIN_CODING
12479	Cd1d1	CD1d1 antigen	PROTEIN_CODING
12487	Cd28	CD28 antigen	PROTEIN_CODING
12490	Cd34	CD34 antigen	PROTEIN_CODING
12491	Cd36	CD36 molecule	PROTEIN_CODING
12494	Cd38	CD38 antigen	PROTEIN_CODING
12501	Cd3e	CD3 antigen, epsilon polypeptide	PROTEIN_CODING
12503	Cd247	CD247 antigen	PROTEIN_CODING
12504	Cd4	CD4 antigen	PROTEIN_CODING
12505	Cd44	CD44 antigen	PROTEIN_CODING
12518	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	PROTEIN_CODING
12519	Cd80	CD80 antigen	PROTEIN_CODING
12524	Cd86	CD86 antigen	PROTEIN_CODING
12525	Cd8a	CD8 antigen, alpha chain	PROTEIN_CODING
12534	Cdk1	cyclin-dependent kinase 1	PROTEIN_CODING
12540	Cdc42	cell division cycle 42	PROTEIN_CODING
12550	Cdh1	cadherin 1	PROTEIN_CODING
12558	Cdh2	cadherin 2	PROTEIN_CODING
12562	Cdh5	cadherin 5	PROTEIN_CODING
12566	Cdk2	cyclin-dependent kinase 2	PROTEIN_CODING
12567	Cdk4	cyclin-dependent kinase 4	PROTEIN_CODING
12568	Cdk5	cyclin-dependent kinase 5	PROTEIN_CODING
12575	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	PROTEIN_CODING
12576	Cdkn1b	cyclin-dependent kinase inhibitor 1B	PROTEIN_CODING
12577	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	PROTEIN_CODING
12578	Cdkn2a	cyclin dependent kinase inhibitor 2A	PROTEIN_CODING
12591	Cdx2	caudal type homeobox 2	PROTEIN_CODING
12606	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	PROTEIN_CODING
12608	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	PROTEIN_CODING
12638	Cftr	cystic fibrosis transmembrane conductance regulator	PROTEIN_CODING
12647	Chat	choline acetyltransferase	PROTEIN_CODING
12671	Chrm3	cholinergic receptor, muscarinic 3, cardiac	PROTEIN_CODING
12675	Chuk	conserved helix-loop-helix ubiquitous kinase	PROTEIN_CODING
12677	Vsx2	visual system homeobox 2	PROTEIN_CODING
12702	Socs3	suppressor of cytokine signaling 3	PROTEIN_CODING
12703	Socs1	suppressor of cytokine signaling 1	PROTEIN_CODING
12753	Clock	circadian locomotor output cycles kaput	PROTEIN_CODING
12759	Clu	clusterin	PROTEIN_CODING
12765	Cxcr2	chemokine (C-X-C motif) receptor 2	PROTEIN_CODING
12766	Cxcr3	chemokine (C-X-C motif) receptor 3	PROTEIN_CODING
12767	Cxcr4	chemokine (C-X-C motif) receptor 4	PROTEIN_CODING
12772	Ccr2	chemokine (C-C motif) receptor 2	PROTEIN_CODING
12774	Ccr5	chemokine (C-C motif) receptor 5	PROTEIN_CODING
12775	Ccr7	chemokine (C-C motif) receptor 7	PROTEIN_CODING
12799	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase	PROTEIN_CODING
12801	Cnr1	cannabinoid receptor 1 (brain)	PROTEIN_CODING
12802	Cnr2	cannabinoid receptor 2 (macrophage)	PROTEIN_CODING
12813	Col10a1	collagen, type X, alpha 1	PROTEIN_CODING
12824	Col2a1	collagen, type II, alpha 1	PROTEIN_CODING
12842	Col1a1	collagen, type I, alpha 1	PROTEIN_CODING
12843	Col1a2	collagen, type I, alpha 2	PROTEIN_CODING
12902	Cr2	complement receptor 2	PROTEIN_CODING
12912	Creb1	cAMP responsive element binding protein 1	PROTEIN_CODING
12914	Crebbp	CREB binding protein	PROTEIN_CODING
12918	Crh	corticotropin releasing hormone	PROTEIN_CODING
12921	Crhr1	corticotropin releasing hormone receptor 1	PROTEIN_CODING
12952	Cry1	cryptochrome 1 (photolyase-like)	PROTEIN_CODING
12955	Cryab	crystallin, alpha B	PROTEIN_CODING
12977	Csf1	colony stimulating factor 1 (macrophage)	PROTEIN_CODING
12978	Csf1r	colony stimulating factor 1 receptor	PROTEIN_CODING
12981	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	PROTEIN_CODING
12985	Csf3	colony stimulating factor 3 (granulocyte)	PROTEIN_CODING
13018	Ctcf	CCCTC-binding factor	PROTEIN_CODING
13030	Ctsb	cathepsin B	PROTEIN_CODING
13038	Ctsk	cathepsin K	PROTEIN_CODING
13039	Ctsl	cathepsin L	PROTEIN_CODING
13047	Cux1	cut-like homeobox 1	PROTEIN_CODING
13051	Cx3cr1	chemokine (C-X3-C motif) receptor 1	PROTEIN_CODING
13058	Cybb	cytochrome b-245, beta polypeptide	PROTEIN_CODING
13075	Cyp19a1	cytochrome P450, family 19, subfamily a, polypeptide 1	PROTEIN_CODING
13106	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1	PROTEIN_CODING
13131	Dab1	disabled 1	PROTEIN_CODING
13138	Dag1	dystroglycan 1	PROTEIN_CODING
13162	Slc6a3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	PROTEIN_CODING
13166	Dbh	dopamine beta hydroxylase	PROTEIN_CODING
13176	Dcc	deleted in colorectal carcinoma	PROTEIN_CODING
13179	Dcn	decorin	PROTEIN_CODING
13193	Dcx	doublecortin	PROTEIN_CODING
13198	Ddit3	DNA-damage inducible transcript 3	PROTEIN_CODING
13206	Ddx4	DEAD box helicase 4	PROTEIN_CODING
13346	Des	desmin	PROTEIN_CODING
13380	Dkk1	dickkopf WNT signaling pathway inhibitor 1	PROTEIN_CODING
13385	Dlg4	discs large MAGUK scaffold protein 4	PROTEIN_CODING
13386	Dlk1	delta like non-canonical Notch ligand 1	PROTEIN_CODING
13388	Dll1	delta like canonical Notch ligand 1	PROTEIN_CODING
13392	Dlx2	distal-less homeobox 2	PROTEIN_CODING
13395	Dlx5	distal-less homeobox 5	PROTEIN_CODING
13405	Dmd	dystrophin, muscular dystrophy	PROTEIN_CODING
13433	Dnmt1	DNA methyltransferase (cytosine-5) 1	PROTEIN_CODING
13435	Dnmt3a	DNA methyltransferase 3A	PROTEIN_CODING
13436	Dnmt3b	DNA methyltransferase 3B	PROTEIN_CODING
13482	Dpp4	dipeptidylpeptidase 4	PROTEIN_CODING
13488	Drd1	dopamine receptor D1	PROTEIN_CODING
13489	Drd2	dopamine receptor D2	PROTEIN_CODING
13490	Drd3	dopamine receptor D3	PROTEIN_CODING
13555	E2f1	E2F transcription factor 1	PROTEIN_CODING
13607	Eda	ectodysplasin-A	PROTEIN_CODING
13609	S1pr1	sphingosine-1-phosphate receptor 1	PROTEIN_CODING
13612	Edil3	EGF-like repeats and discoidin I-like domains 3	PROTEIN_CODING
13614	Edn1	endothelin 1	PROTEIN_CODING
13618	Ednrb	endothelin receptor type B	PROTEIN_CODING
13642	Efnb2	ephrin B2	PROTEIN_CODING
13645	Egf	epidermal growth factor	PROTEIN_CODING
13649	Egfr	epidermal growth factor receptor	PROTEIN_CODING
13653	Egr1	early growth response 1	PROTEIN_CODING
13654	Egr2	early growth response 2	PROTEIN_CODING
13666	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3	PROTEIN_CODING
13796	Emx1	empty spiracles homeobox 1	PROTEIN_CODING
13797	Emx2	empty spiracles homeobox 2	PROTEIN_CODING
13798	En1	engrailed 1	PROTEIN_CODING
13799	En2	engrailed 2	PROTEIN_CODING
13805	Eng	endoglin	PROTEIN_CODING
13813	Eomes	eomesodermin	PROTEIN_CODING
13819	Epas1	endothelial PAS domain protein 1	PROTEIN_CODING
13838	Epha4	Eph receptor A4	PROTEIN_CODING
13844	Ephb2	Eph receptor B2	PROTEIN_CODING
13850	Ephx2	epoxide hydrolase 2, cytoplasmic	PROTEIN_CODING
13856	Epo	erythropoietin	PROTEIN_CODING
13857	Epor	erythropoietin receptor	PROTEIN_CODING
13866	Erbb2	erb-b2 receptor tyrosine kinase 2	PROTEIN_CODING
13869	Erbb4	erb-b2 receptor tyrosine kinase 4	PROTEIN_CODING
13982	Esr1	estrogen receptor 1 (alpha)	PROTEIN_CODING
13983	Esr2	estrogen receptor 2 (beta)	PROTEIN_CODING
14056	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	PROTEIN_CODING
14062	F2r	coagulation factor II (thrombin) receptor	PROTEIN_CODING
14063	F2rl1	coagulation factor II (thrombin) receptor-like 1	PROTEIN_CODING
14066	F3	coagulation factor III	PROTEIN_CODING
14069	F8	coagulation factor VIII	PROTEIN_CODING
14083	Ptk2	PTK2 protein tyrosine kinase 2	PROTEIN_CODING
140919	Slc17a6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	PROTEIN_CODING
14102	Fas	Fas (TNF receptor superfamily member 6)	PROTEIN_CODING
14103	Fasl	Fas ligand (TNF superfamily, member 6)	PROTEIN_CODING
14118	Fbn1	fibrillin 1	PROTEIN_CODING
14127	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	PROTEIN_CODING
14130	Fcgr2b	Fc receptor, IgG, low affinity IIb	PROTEIN_CODING
14131	Fcgr3	Fc receptor, IgG, low affinity III	PROTEIN_CODING
14160	Lgr5	leucine rich repeat containing G protein coupled receptor 5	PROTEIN_CODING
14165	Fgf10	fibroblast growth factor 10	PROTEIN_CODING
14169	Fgf14	fibroblast growth factor 14	PROTEIN_CODING
14173	Fgf2	fibroblast growth factor 2	PROTEIN_CODING
14174	Fgf3	fibroblast growth factor 3	PROTEIN_CODING
14175	Fgf4	fibroblast growth factor 4	PROTEIN_CODING
14179	Fgf8	fibroblast growth factor 8	PROTEIN_CODING
14182	Fgfr1	fibroblast growth factor receptor 1	PROTEIN_CODING
14183	Fgfr2	fibroblast growth factor receptor 2	PROTEIN_CODING
14184	Fgfr3	fibroblast growth factor receptor 3	PROTEIN_CODING
14219	Ccn2	cellular communication network factor 2	PROTEIN_CODING
14254	Flt1	FMS-like tyrosine kinase 1	PROTEIN_CODING
14255	Flt3	FMS-like tyrosine kinase 3	PROTEIN_CODING
14256	Flt3l	FMS-like tyrosine kinase 3 ligand	PROTEIN_CODING
14257	Flt4	FMS-like tyrosine kinase 4	PROTEIN_CODING
14265	Fmr1	fragile X messenger ribonucleoprotein 1	PROTEIN_CODING
14268	Fn1	fibronectin 1	PROTEIN_CODING
14281	Fos	FBJ osteosarcoma oncogene	PROTEIN_CODING
142980	Tlr3	toll-like receptor 3	PROTEIN_CODING
14360	Fyn	Fyn proto-oncogene	PROTEIN_CODING
14394	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	PROTEIN_CODING
14406	Gabrg2	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2	PROTEIN_CODING
14415	Gad1	glutamate decarboxylase 1	PROTEIN_CODING
14417	Gad2	glutamic acid decarboxylase 2	PROTEIN_CODING
14419	Gal	galanin and GMAP prepropeptide	PROTEIN_CODING
14420	Galc	galactosylceramidase	PROTEIN_CODING
14432	Gap43	growth associated protein 43	PROTEIN_CODING
14460	Gata1	GATA binding protein 1	PROTEIN_CODING
14461	Gata2	GATA binding protein 2	PROTEIN_CODING
14462	Gata3	GATA binding protein 3	PROTEIN_CODING
14463	Gata4	GATA binding protein 4	PROTEIN_CODING
14465	Gata6	GATA binding protein 6	PROTEIN_CODING
14526	Gcg	glucagon	PROTEIN_CODING
14573	Gdnf	glial cell line derived neurotrophic factor	PROTEIN_CODING
14580	Gfap	glial fibrillary acidic protein	PROTEIN_CODING
14599	Gh	growth hormone	PROTEIN_CODING
14600	Ghr	growth hormone receptor	PROTEIN_CODING
14609	Gja1	gap junction protein, alpha 1	PROTEIN_CODING
14613	Gja5	gap junction protein, alpha 5	PROTEIN_CODING
14617	Gjd2	gap junction protein, delta 2	PROTEIN_CODING
14618	Gjb1	gap junction protein, beta 1	PROTEIN_CODING
14619	Gjb2	gap junction protein, beta 2	PROTEIN_CODING
14632	Gli1	GLI-Kruppel family member GLI1	PROTEIN_CODING
14633	Gli2	GLI-Kruppel family member GLI2	PROTEIN_CODING
14634	Gli3	GLI-Kruppel family member GLI3	PROTEIN_CODING
14652	Glp1r	glucagon-like peptide 1 receptor	PROTEIN_CODING
14678	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	PROTEIN_CODING
14682	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	PROTEIN_CODING
14683	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	PROTEIN_CODING
14714	Gnrh1	gonadotropin releasing hormone 1	PROTEIN_CODING
14726	Pdpn	podoplanin	PROTEIN_CODING
14751	Gpi1	glucose-6-phosphate isomerase 1	PROTEIN_CODING
14775	Gpx1	glutathione peroxidase 1	PROTEIN_CODING
14784	Grb2	growth factor receptor bound protein 2	PROTEIN_CODING
14799	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	PROTEIN_CODING
14800	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	PROTEIN_CODING
14804	Grid2	glutamate receptor, ionotropic, delta 2	PROTEIN_CODING
14810	Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	PROTEIN_CODING
14811	Grin2a	glutamate receptor, ionotropic, NMDA2A (epsilon 1)	PROTEIN_CODING
14812	Grin2b	glutamate receptor, ionotropic, NMDA2B (epsilon 2)	PROTEIN_CODING
14815	Nr3c1	nuclear receptor subfamily 3, group C, member 1	PROTEIN_CODING
14816	Grm1	glutamate receptor, metabotropic 1	PROTEIN_CODING
14824	Grn	granulin	PROTEIN_CODING
14825	Cxcl1	chemokine (C-X-C motif) ligand 1	PROTEIN_CODING
14828	Hspa5	heat shock protein 5	PROTEIN_CODING
14910	Gt(ROSA)26Sor	gene trap ROSA 26, Philippe Soriano	ncRNA
14939	Gzmb	granzyme B	PROTEIN_CODING
14955	H19	H19, imprinted maternally expressed transcript	ncRNA
14961	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	PROTEIN_CODING
14964	H2-D1	histocompatibility 2, D region locus 1	PROTEIN_CODING
14972	H2-K1	histocompatibility 2, K1, K region	PROTEIN_CODING
15111	Hand2	heart and neural crest derivatives expressed 2	PROTEIN_CODING
15121	Hba	hemoglobin alpha chain complex	OTHER
15127	Hbb	hemoglobin beta chain complex	OTHER
15128	Hbb-ar	hemoglobin, activating region	BIOLOGICAL_REGION
15139	Hc	hemolytic complement	PROTEIN_CODING
15170	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	PROTEIN_CODING
15171	Hcrt	hypocretin	PROTEIN_CODING
15182	Hdac2	histone deacetylase 2	PROTEIN_CODING
15183	Hdac3	histone deacetylase 3	PROTEIN_CODING
15185	Hdac6	histone deacetylase 6	PROTEIN_CODING
15186	Hdc	histidine decarboxylase	PROTEIN_CODING
15194	Htt	huntingtin	PROTEIN_CODING
15205	Hes1	hes family bHLH transcription factor 1	PROTEIN_CODING
15208	Hes5	hes family bHLH transcription factor 5	PROTEIN_CODING
15216	Hfe	homeostatic iron regulator	PROTEIN_CODING
15218	Foxn1	forkhead box N1	PROTEIN_CODING
15228	Foxg1	forkhead box G1	PROTEIN_CODING
15234	Hgf	hepatocyte growth factor	PROTEIN_CODING
15251	Hif1a	hypoxia inducible factor 1, alpha subunit	PROTEIN_CODING
15270	H2ax	H2A.X variant histone	PROTEIN_CODING
15285	Mnx1	motor neuron and pancreas homeobox 1	PROTEIN_CODING
15289	Hmgb1	high mobility group box 1	PROTEIN_CODING
15368	Hmox1	heme oxygenase 1	PROTEIN_CODING
15370	Nr4a1	nuclear receptor subfamily 4, group A, member 1	PROTEIN_CODING
15376	Foxa2	forkhead box A2	PROTEIN_CODING
15378	Hnf4a	hepatic nuclear factor 4, alpha	PROTEIN_CODING
15407	Hoxb1	homeobox B1	PROTEIN_CODING
15433	Hoxd13	homeobox D13	PROTEIN_CODING
15452	Hprt	hypoxanthine guanine phosphoribosyl transferase	PROTEIN_CODING
15460	Hr	lysine demethylase and nuclear receptor corepressor	PROTEIN_CODING
15461	Hras	Harvey rat sarcoma virus oncogene	PROTEIN_CODING
15483	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	PROTEIN_CODING
15499	Hsf1	heat shock factor 1	PROTEIN_CODING
15511	Hspa1b	heat shock protein 1B	PROTEIN_CODING
15530	Hspg2	perlecan (heparan sulfate proteoglycan 2)	PROTEIN_CODING
15550	Htr1a	5-hydroxytryptamine (serotonin) receptor 1A	PROTEIN_CODING
15560	Htr2c	5-hydroxytryptamine (serotonin) receptor 2C	PROTEIN_CODING
15567	Slc6a4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	PROTEIN_CODING
15894	Icam1	intercellular adhesion molecule 1	PROTEIN_CODING
15900	Irf8	interferon regulatory factor 8	PROTEIN_CODING
15901	Id1	inhibitor of DNA binding 1, HLH protein	PROTEIN_CODING
15902	Id2	inhibitor of DNA binding 2	PROTEIN_CODING
15903	Id3	inhibitor of DNA binding 3	PROTEIN_CODING
15930	Ido1	indoleamine 2,3-dioxygenase 1	PROTEIN_CODING
15945	Cxcl10	chemokine (C-X-C motif) ligand 10	PROTEIN_CODING
15975	Ifnar1	interferon (alpha and beta) receptor 1	PROTEIN_CODING
15977	Ifnb1	interferon beta 1, fibroblast	PROTEIN_CODING
15978	Ifng	interferon gamma	PROTEIN_CODING
15979	Ifngr1	interferon gamma receptor 1	PROTEIN_CODING
